unit,arm,success,tokens
3B v2_13 s3,repair_structured,0,4216
3B v2_13 s3,repair_diverse,0,4314
3B v2_13 s3,repair_nudge_weak,0,4276
3B v2_14 s3,repair_structured,0,2492
3B v2_14 s3,repair_diverse,0,2660
3B v2_14 s3,repair_nudge_weak,0,2582
3B v2_15 s3,repair_structured,0,4011
3B v2_15 s3,repair_diverse,0,4109
3B v2_15 s3,repair_nudge_weak,0,4071
3B v2_13 s4,repair_structured,0,3726
3B v2_13 s4,repair_diverse,0,3780
3B v2_13 s4,repair_nudge_weak,0,3756
3B v2_14 s4,repair_structured,0,2492
3B v2_14 s4,repair_diverse,0,2590
3B v2_14 s4,repair_nudge_weak,0,2582
3B v2_15 s4,repair_structured,0,3990
3B v2_15 s4,repair_diverse,0,4088
3B v2_15 s4,repair_nudge_weak,0,4050
